repo_url,commit_hash,model_file_path,serialization_format,,,
w11wo/indonesian-roberta-base-posp-tagger,d9eab3827f3ea6573e4573dd61cb1f4348657ca7,w11wo/indonesian-roberta-base-posp-tagger/tf_model.h5,h5/hdf5,,,
w11wo/indonesian-roberta-base-posp-tagger,268de8e0754e5554aeac61ec03913192ad023d24,w11wo/indonesian-roberta-base-posp-tagger/pytorch_model.bin,torch.save,,,
w11wo/indonesian-roberta-base-posp-tagger,268de8e0754e5554aeac61ec03913192ad023d24,w11wo/indonesian-roberta-base-posp-tagger/tf_model.h5,h5/hdf5,,,
w11wo/indonesian-roberta-base-posp-tagger,97f67582114a60bba145bc090ed12283f6bc069f,w11wo/indonesian-roberta-base-posp-tagger/pytorch_model.bin,torch.save,,,
w11wo/indonesian-roberta-base-posp-tagger,97f67582114a60bba145bc090ed12283f6bc069f,w11wo/indonesian-roberta-base-posp-tagger/tf_model.h5,h5/hdf5,,,
w11wo/indonesian-roberta-base-posp-tagger,dff7fcbed12d280282d84f2cd219b758a675ba0d,w11wo/indonesian-roberta-base-posp-tagger/pytorch_model.bin,torch.save,,,
w11wo/indonesian-roberta-base-posp-tagger,dff7fcbed12d280282d84f2cd219b758a675ba0d,w11wo/indonesian-roberta-base-posp-tagger/tf_model.h5,h5/hdf5,,,
vinai/phobert-large,3eacc4e11494b2e6bed1074333a1ba2c0f8137e8,vinai/phobert-large/tf_model.h5,h5/hdf5,,,
vinai/phobert-large,37304121dc29838437a7af35535da428b30683ac,vinai/phobert-large/pytorch_model.bin,torch.save,,,
vinai/phobert-base,cd781032266aca1d3b18801a8ee9522bd13b3cdc,vinai/phobert-base/tf_model.h5,h5/hdf5,,,
vinai/phobert-base,774510d79701ddb1efa5f89b155f061330f0b5d3,vinai/phobert-base/pytorch_model.bin,torch.save,,,
vinai/bertweet-large,d59e2e68c461a471b033720732804359bdbfa1af,vinai/bertweet-large/pytorch_model.bin,torch.save,,,
vinai/bertweet-large,d59e2e68c461a471b033720732804359bdbfa1af,vinai/bertweet-large/tf_model.h5,h5/hdf5,,,
vinai/bertweet-covid19-base-uncased,d409757f4ba82efa3be6444c436eccc3f1218ca8,vinai/bertweet-covid19-base-uncased/tf_model.h5,h5/hdf5,,,
vinai/bertweet-covid19-base-uncased,2c7f646b0abb39cdb1f795fe280e8774f421bf4b,vinai/bertweet-covid19-base-uncased/pytorch_model.bin,torch.save,,,
stanfordnlp/stanza-en,7f6132afe4a1e3bf3d69897f0f7b53082f05b4dd,stanfordnlp/stanza-en/models/coref/udcoref_xlm-roberta-lora.pt,torch.save,,,
stanfordnlp/stanza-en,b13e554c7f4d0b7b874b32051d157707b2b5029d,stanfordnlp/stanza-en/models/coref/udcoref_xlm-roberta-lora.pt,torch.save,,,
stanfordnlp/stanza-en,0111abb9c35259655474f8a41ccdf1d1db861bac,stanfordnlp/stanza-en/models/mwt/combined.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/atis_charlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/atis_electra-large.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/atis_nocharlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/combined_nocharlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/craft_nocharlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/eslspok_charlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/eslspok_electra-large.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/eslspok_nocharlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/ewt_charlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/ewt_electra-large.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/ewt_nocharlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/genia_nocharlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/gum_charlm.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/gum_electra-large.pt,torch.save,,,
stanfordnlp/stanza-en,f952d9cd39bfb3b47f2f9477136fc6973a476537,stanfordnlp/stanza-en/models/pos/gum_nocharlm.pt,torch.save,,,
